Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
pants,1.712742,778.653041,2802.429715,3314.564605,3779.928764
pants,1.718992,1270.625441,2997.709337,3345.102462,4171.218372
pants,1.725242,1530.812108,2977.898907,3310.758966,4076.223996
pants,1.731492,1601.442683,2996.502466,3306.198164,4287.172098
pants,1.737742,1593.120765,2906.535897,3223.426051,4519.772573
pants,1.743992,932.306778,2157.634076,3036.90192,3752.399285
pants,1.750242,405.376029,2177.940509,3011.330507,3844.400135
pants,1.756492,415.039962,2037.947317,3096.798987,4074.327843
look,1.762742,360.173068,1413.776125,3005.129168,3589.840326
look,1.768992,357.320646,1364.932727,3088.513511,4080.707287
look,1.775242,354.78177,1322.535295,3104.472515,4210.891214
look,1.781492,338.042995,1307.046703,3081.162802,4178.522819
look,1.787742,333.067508,1276.762366,2982.72314,3944.270256
look,1.793992,305.948076,1271.399691,3125.768464,3918.202372
look,1.800242,300.770778,1261.993971,3247.250282,4439.417194
look,1.806492,283.12906,1263.57072,2475.590641,3668.233545
look,1.812742,249.71468,1283.932505,1795.964445,3645.751217
look,1.818992,208.534395,1298.511428,1755.940776,3666.95738
look,1.825242,250.187512,1270.333293,1792.704829,3676.910421
look,1.831492,307.212487,1274.822547,2016.076311,3727.849186
look,1.837742,379.17942,1229.874232,2549.405409,3769.249698
look,1.843992,398.27663,1216.570379,2600.144303,3665.885302
look,1.850242,406.365386,1208.448814,2577.213302,3295.867175
look,1.856492,413.204497,1219.130475,2638.657954,3776.793947
look,1.862742,422.167504,1233.295953,2576.083642,3722.768198
look,1.868992,465.718137,1304.536831,2563.943468,3676.60114
look,1.875242,530.966865,1048.909168,2635.459343,3793.619648
look,1.881492,455.167372,1029.872418,2744.694872,3763.654022
look,1.887742,424.22071,1100.31649,2895.273935,3766.340375
look,1.893992,438.48078,1072.110169,2943.455252,3790.282565
look,1.900242,508.335887,2334.858455,3213.971916,3861.176256
look,1.906492,555.327055,2240.914474,3321.783752,3871.48308
look,1.912742,584.013975,2287.502536,3383.578041,3874.202928
look,1.918992,637.996615,2833.998893,3598.24079,4539.105529
look,1.925242,326.506084,1001.041162,2884.797413,3692.359714
look,1.931492,769.103052,2664.327312,3726.152176,3903.512834
look,1.937742,790.291665,2465.298522,3657.017645,4604.655501
look,1.943992,497.027035,1097.659269,2921.13641,3639.154322
look,1.950242,489.68393,1364.501916,2745.206973,3659.583905
look,1.956492,442.590334,1362.411679,2632.326226,3653.633634
look,1.962742,1013.274308,2822.572577,3636.800408,4482.012015
look,1.968992,1038.045521,2788.606148,3723.161166,3757.429694
look,1.975242,972.321309,2735.609275,3596.537414,4488.23623
look,1.981492,383.454061,902.155028,2638.61565,3590.564786
look,1.987742,464.009268,1234.872634,2804.590952,3615.44234
look,1.993992,727.301876,2722.703123,3655.774912,4704.973984
look,2.000242,900.182535,2863.866418,3684.459939,3744.410139
look,2.006492,891.919339,2491.976274,3534.928664,4657.553873
look,2.012742,526.151948,1347.011325,3085.901353,4055.52179
look,2.018992,869.44785,1337.458003,3216.9149,4178.870682
great,2.025242,1000.039216,1373.002353,3914.371964,4235.048677
great,2.031492,885.880974,945.185541,1381.123812,3942.762837
great,2.037742,819.020054,1065.864751,1453.625181,3945.547919
